epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.144,0.21248,0.50531,0.98622,0.82065,0.82833,0.91379,0.91373,0.15753,0.64536,0.44621,0.000555242,0.000555242,0.000555242
2,1314.86,0.06342,0.14634,0.83611,0.9028,0.90232,0.92783,0.92783,0.13313,0.47861,0.4486,0.00100093,0.00100093,0.00100093
3,1960.78,0.05918,0.12518,0.8347,0.90064,0.90598,0.94036,0.94036,0.13344,0.59827,0.43458,0.00133659,0.00133659,0.00133659
4,2608.61,0.05335,0.10779,0.83073,0.90827,0.90262,0.93394,0.93394,0.14063,0.48079,0.44257,0.0011719,0.0011719,0.0011719
5,3279.3,0.04509,0.08056,0.83012,0.8553,0.86574,0.93144,0.93144,0.13901,0.59683,0.43404,0.00100687,0.00100687,0.00100687
6,3925.57,0.03828,0.06672,0.82632,0.88533,0.8744,0.90707,0.90707,0.11845,0.66976,0.41815,0.000841835,0.000841835,0.000841835
7,4581.14,0.03323,0.05405,0.82668,0.90541,0.89864,0.91629,0.91629,0.09725,0.62193,0.38872,0.000676802,0.000676802,0.000676802
8,5308.02,0.02799,0.04605,0.82855,0.90364,0.90604,0.92377,0.92377,0.10001,0.67952,0.40093,0.000511769,0.000511769,0.000511769
9,5992.3,0.02368,0.03628,0.82508,0.91283,0.91337,0.90955,0.90955,0.09255,0.70023,0.39458,0.000346736,0.000346736,0.000346736
10,6645.61,inf,0.02784,0.82512,0.90543,0.91375,0.92539,0.92539,0.11272,0.75385,0.41948,0.000181703,0.000181703,0.000181703
